date,a2c,ddpg,td3,ppo,sac,mvo
2022-09-18,2104800.492999998,2240496.6058999994,2363364.62825,2415595.2289000014,2182074.64915,2138369.872447557
2022-09-19,2110430.992999998,2251023.0058999998,2363639.1282499996,2419557.9289000006,2184294.2491499996,2139000.2219360657
2022-09-20,2105633.2929999977,2246941.4059,2370989.72825,2433377.3289000005,2184767.3491499997,2139329.4242878095
2022-09-21,2092755.3929999978,2253303.6059000003,2366786.62825,2428540.228900001,2187837.64915,2139494.0277345837
2022-09-22,2093436.5929999975,2250762.4059,2380063.12825,2438569.228900001,2194717.44915,2142541.0107489154
2022-09-25,2089333.0929999975,2239811.9059,2368025.12825,2430154.828900001,2188140.6491499995,2134714.193102318
2022-09-26,2087913.7929999975,2247393.7059,2359148.52825,2416575.2289000014,2187704.7491499996,2134102.0313325846
2022-09-27,2076256.4929999975,2237355.5058999998,2351647.32825,2408734.828900001,2178311.1491499995,2127441.005798431
2022-09-28,2071819.7929999973,2232533.1059,2344966.9282500003,2399473.1289000013,2171466.44915,2123317.524509236
2022-09-29,2075760.2929999977,2233181.2059,2350879.82825,2407114.628900001,2173883.94915,2126618.160694588
2022-10-02,2078189.0929999978,2231576.6059000003,2343254.82825,2400307.028900001,2169655.54915,2123552.1914737336
2022-10-03,2068776.6929999976,2227490.0058999998,2333618.6282499996,2380114.728900001,2161192.3491499997,2116674.8226446058
2022-10-04,2084620.3929999976,2226398.9059,2326841.12825,2378298.428900001,2155671.14915,2112780.4469778333
2022-10-06,2091188.2929999973,2224419.7059,2323130.1282499996,2377275.428900001,2151936.6491499995,2110319.405418155
2022-10-10,2067133.1929999976,2208738.4059,2311856.32825,2373012.728900001,2139414.2491499996,2101726.1268793307
2022-10-11,2078165.5929999975,2200556.4059,2310291.62825,2372459.5289000007,2136283.8940999997,2100444.2210225444
2022-10-12,2098057.3929999983,2208047.9059,2316171.82825,2374541.428900001,2140691.3941,2101240.342563756
2022-10-13,2103668.8929999983,2204180.0058999998,2315058.6282499996,2372923.328900001,2135328.0941,2098624.8928602943
