,a2c,ddpg,td3,ppo,sac,mvo
2022-05-20,2606574.9615692655,2259734.8219767152,2311573.897776169,2193185.582020167,2290341.042102076,2250327.475715915
2022-05-23,2613662.260137991,2299747.8916788637,2322702.4647164764,2164077.9102367195,2304858.809329249,2227494.9328135243
2022-05-24,2556792.278608755,2271809.963059479,2288157.932764572,2134908.81647909,2286276.3668548837,2189576.461120851
2022-05-25,2497776.7795242826,2254956.4493570863,2256012.1501107635,2110289.7872127327,2230617.747683741,2155594.3486782736
2022-05-26,2523599.042700247,2267461.38731485,2284269.2170815887,2121376.8634532723,2259717.2701446787,2165014.306810595
2022-05-27,2577819.869436697,2298351.6628275453,2312055.5473275604,2135738.978763941,2283834.0573303476,2197438.565333176
2022-05-30,2673501.0958542386,2347333.5284891664,2360892.04871611,2178408.9880336556,2359410.26917557,2249199.6235928154
2022-05-31,2678999.8929581204,2337618.3567362367,2363574.714304489,2180833.3158839974,2349937.1900129723,2238583.12914938
2022-06-01,2633574.028852896,2317008.1952982484,2321164.9012704315,2154186.5252040657,2340283.048991244,2216846.748771802
2022-06-02,2652276.1868805448,2324276.7593241273,2328811.822107834,2159652.354496363,2389115.175662081,2228561.4020669563
2022-06-03,2654439.2626251737,2299678.3672342836,2329427.010904831,2159766.183002833,2406210.464510958,2223206.6907263286
2022-06-06,2649730.549566702,2297202.2732706605,2346677.971399826,2172487.111225489,2400246.5627775597,2218079.5622508544
2022-06-07,2604312.004492239,2275930.8414164125,2317249.0290780487,2159411.347629908,2360740.936877291,2170605.903320307
2022-06-08,2593816.872564749,2279046.0849772035,2315931.7471719207,2152147.406299952,2375298.8860655236,2179320.1617448353
2022-06-09,2623921.5082916776,2294156.062882477,2332797.78196196,2175360.69261587,2401139.255602877,2192372.5348854447
2022-06-10,2577927.9763397733,2279129.1820536195,2307374.669611496,2155747.5599864754,2351011.7759886193,2178198.320595509
2022-06-13,2478766.6119446317,2242547.994217926,2251843.2845712127,2112822.1573528084,2264962.838961642,2132005.993936131
2022-06-14,2458724.8493561307,2231768.8740397035,2213862.5121713104,2092080.6920055186,2258845.7540007043,2134194.0644527934
2022-06-15,2445410.943754629,2232753.0677042543,2212450.197245163,2091113.957348231,2249713.860087435,2135161.856873371
2022-06-16,2363261.5098785916,2201202.605118805,2171092.554728073,2050933.2769359385,2205896.4029417443,2101458.321959044
2022-06-17,2319908.4773850003,2157415.3060465395,2146358.5470376434,2029463.5671352183,2176396.307078402,2054148.5287313343
2022-06-20,2329555.746694998,2166119.1039286195,2164532.478861374,2023429.5325816905,2187136.4731626916,2085217.9541965455
2022-06-21,2401751.965277151,2212424.3473368227,2208666.279551071,2058340.0908702647,2249888.5918608117,2139788.31191858
2022-06-22,2344636.3820938626,2187585.0528421937,2194397.004953903,2031288.7398799693,2240429.3990583825,2121350.488221796
2022-06-23,2359505.430021719,2249724.0124064027,2248644.1496682586,2057512.0294460093,2281289.9641523766,2151111.1161790215
2022-06-24,2359447.4345764676,2268897.5969095766,2258548.615274948,2070915.9101146495,2277016.3543882775,2165064.5313740703
2022-06-27,2394943.345999197,2291735.792618805,2287143.21416716,2099035.585056666,2292367.2498045373,2177642.000481564
2022-06-28,2401996.0109543363,2294445.277146393,2299139.502207321,2114986.1510738167,2300879.8312941003,2161409.751956406
2022-06-29,2401452.846151785,2283011.0991373598,2271915.9704842987,2112938.4196971687,2290685.5954161095,2131478.265261351
2022-06-30,2378795.8749908963,2277118.7015848695,2257792.8191476287,2114822.0508464607,2280510.4983549523,2129174.9860349954
2022-07-01,2376709.730070547,2274606.8118448793,2270804.54480986,2081043.8428615367,2284384.2020674157,2149049.4135736832
2022-07-04,2374283.6350159207,2292939.1714945375,2282983.8785500946,2088758.2894328868,2246564.49107651,2163523.529500583
2022-07-05,2375439.1934265653,2283800.981858307,2284827.0443673553,2082416.1232646739,2237397.392169039,2160994.999336636
2022-07-06,2396336.4425568143,2333256.6023417055,2329472.1289010467,2091392.2592815196,2258715.7762632775,2204082.7846102733
2022-07-07,2446932.755148367,2351410.326493317,2345131.7089333953,2118406.1794627937,2270039.532595675,2231413.180453331
2022-07-08,2468049.98898168,2357538.5002604066,2353378.248758835,2145559.2687190804,2262343.1159925866,2239962.261915676
2022-07-11,2457335.8683075467,2356378.8193522035,2317081.0641580047,2147044.0507854256,2188782.754321139,2228620.764510116
2022-07-12,2432330.171972708,2329053.1508646547,2293273.7212777557,2129642.9097331795,2169280.9073362756,2199363.785313598
2022-07-13,2413423.023863272,2330779.9827738344,2294604.97739653,2126532.7723201546,2142158.571192782,2199742.319346547
2022-07-14,2405477.721540884,2341396.3395548402,2282278.7353921356,2122358.8583339485,2127262.062083285,2194720.136428877
2022-07-15,2426316.6043839017,2383331.526139313,2302989.129038376,2138463.0425838265,2123984.801661532,2216930.7981107933
2022-07-18,2489437.641310171,2403103.3938761293,2344167.5897775115,2172437.621532801,2167914.906123202,2234457.539271762
2022-07-19,2494479.199728445,2408615.9269266664,2352293.3514352264,2175858.5134776863,2174111.4271574426,2240014.737925114
2022-07-20,2552483.2235016385,2435162.476578766,2391631.042658371,2198635.529255274,2232048.680178683,2269872.031141701
2022-07-21,2584426.3077759305,2452185.5820780336,2410464.3894143524,2225367.363117579,2236900.4777250695,2280053.485418022
2022-07-22,2593157.173925833,2465879.0328226625,2413268.940455002,2232729.5623668465,2232355.3143034386,2298036.7146919672
2022-07-25,2578905.440580801,2439381.7456522523,2404406.2513680877,2224501.619594935,2219729.575968783,2295998.346814978
2022-07-26,2546064.6187271634,2403233.3386087953,2353732.795404953,2186302.478100184,2184826.16912369,2256244.373743671
2022-07-27,2563641.0853180448,2432473.1335001527,2377166.8987374725,2209583.563785914,2224328.1934996056,2287193.5827599643
2022-07-28,2611541.245924429,2460458.4625101625,2406820.4101052703,2229280.993587855,2270750.1779280114,2320215.512436921
2022-07-29,2643355.0900482694,2482446.8651285707,2437345.545389694,2253175.031940821,2299524.902468722,2330645.409358726
2022-08-01,2669270.4677185575,2514790.9051371156,2447168.5923867645,2272295.0622295174,2308290.0748777795,2332978.8511603237
2022-08-02,2651432.027891592,2532146.5857706605,2453569.6569161834,2265932.347301844,2305078.8600111413,2342076.1412775735
2022-08-03,2684366.6981339017,2526269.929856354,2464832.5805917205,2268412.5691951546,2334243.834651034,2352567.3353331336
2022-08-04,2688567.2591843167,2533662.518326813,2473521.93191008,2272760.3848689827,2343130.610621493,2362713.958596578
2022-08-05,2686869.1940063993,2526913.713181549,2477679.710123581,2275552.302723292,2346514.1622648644,2369486.26882502
2022-08-08,2705343.5647949735,2543391.467820221,2483472.543818039,2302187.9987987312,2356124.073184054,2386684.5077822064
