,a2c,ddpg,td3,ppo,sac,mvo
2023-03-01,2390594.8707199967,2634834.2190300007,2317038.98148,1680577.2154650025,2986537.667725001,2921489.259220139
2023-03-02,2406904.7107199966,2634219.649030001,2317114.54148,1677154.161410003,2986475.497725001,2942905.584884464
2023-03-03,2440277.5207199967,2686130.799030001,2364764.42148,1705559.579845003,3032824.287725001,3008267.367600408
2023-03-04,2440244.3807199965,2685867.149030001,2364683.1414799998,1705512.868225003,3032435.797725001,3008083.5978182377
2023-03-06,2451450.5507199964,2692700.7990300013,2363047.50148,1699491.4723050026,3044441.817725002,3013083.9259576583
2023-03-07,2414472.380719996,2632482.799030001,2316331.7014800003,1662818.9363300025,2986586.007725001,2986302.950658562
2023-03-08,2426220.9307199963,2637142.4990300005,2318592.54148,1663058.7072350027,2987120.347725001,3013991.47107314
2023-03-09,2475152.7907199967,2582913.8590300004,2257825.46148,1628722.1706100027,2908959.297725002,2960035.461738861
2023-03-10,2436932.4107199963,2522411.529030001,2241066.14148,1602370.318655003,2851164.847725001,2929711.3276740974
2023-03-11,2436282.8207199965,2521965.309030001,2240601.06148,1601644.984710003,2851020.577725001,2929074.1241711318
2023-03-13,2395563.4207199966,2436479.2390300008,2194814.26148,1555400.606995003,2766088.3077250007,2936102.631448404
2023-03-14,2442788.2707199967,2492265.4690300003,2250865.86148,1588651.9373500028,2846266.7577250013,3012113.386965068
2023-03-15,2409159.1107199965,2477033.259030001,2207257.62148,1573239.9092400027,2840039.337725001,3021183.5584604032
2023-03-16,2474781.8407199965,2536767.1590300007,2260497.1414799998,1632312.4979500028,2930503.267725001,3122858.7009135885
2023-03-17,2427824.310719996,2497461.819030001,2210237.8214800004,1591487.9722050033,2890604.4477250013,3105226.6568020685
2023-03-20,2424986.8407199965,2499424.649030001,2234148.14148,1599682.6777450028,2882233.8577250014,3117078.645900982
2023-03-21,2491885.8607199965,2557669.6890300005,2276325.18148,1631415.6600700028,2937901.3477250007,3140393.7594269374
2023-03-22,2419521.990719997,2503475.199030001,2218394.26148,1587089.1159300029,2875529.907725001,3104292.6267404025
2023-03-23,2448212.6007199963,2508298.8490300006,2226091.7814800004,1581056.7026100024,2878159.367725001,3129781.0321648666
2023-03-24,2448322.460719997,2515577.559030001,2220617.06148,1588197.9274400028,2898617.4077250008,3120235.550643799
2023-03-27,2478237.6507199965,2524691.7890300006,2243105.98148,1588124.4236750023,2898171.767725001,3107504.497654184
